Inches,Ram,Gpu,OpSys,Weight,Price_euros,CPU Manufacturer,CPU Series,CPU Model,CPU Clock Speed,Capacity,MemoryType,Laptop,Width,Height
15.6,8,AMD Radeon R7 Graphics,Windows 10,2.04,629.0,AMD,AMD A12-Series,12,2.5,2TB,HDD,HPNotebook15-ba043na (A12-9700P/8GB/2TB/W10),1366,768
14.0,4,Intel HD Graphics 520,Windows 10,1.48,1099.99,Intel,Intel Core,5,2.4,256GB,SSD,HPNotebookEliteBook 840,1366,768
15.6,8,Intel HD Graphics 620,Windows 10,1.9,935.0,Intel,Intel Core,5,2.6,500GB,HDD,DellNotebookLatitude 5580,1920,1080
15.6,8,Nvidia GeForce 940MX,Windows 10,2.3,1011.99,Intel,Intel Core,5,2.5,256GB,SSD,LenovoNotebookThinkpad E570,1920,1080
15.6,16,Nvidia GeForce 930M,Windows 10,2.4,1425.0,Intel,Intel Core,7,2.5,256GB,SSD,ToshibaNotebookTecra A50-C-218,1920,1080
12.5,8,Intel HD Graphics 520,Windows 7,1.26,1895.0,Intel,Intel Core,5,2.4,256GB,SSD,HPUltrabookEliteBook 820,1366,768
15.6,2,Intel HD Graphics,Chrome OS,2.19,199.0,Intel,Intel Celeron,3205U,1.5,16GB,SSD,AcerNotebookChromebook C910-C2ST,1366,768
15.6,12,Intel HD Graphics 620,Windows 10,2.15,659.0,Intel,Intel Core,7,2.7,1TB,HDD,AcerNotebookSP315-51 (i7-7500U/12GB/1TB/FHD/W10),1920,1080
15.6,4,AMD Radeon R2 Graphics,Windows 10,2.2,299.0,AMD,AMD E-Series,9000,2.2,500GB,HDD,LenovoNotebookIdeaPad 320-15AST,1366,768
15.6,4,Intel HD Graphics 520,Windows 10,2.1,429.0,Intel,Intel Core,3,2.0,128GB,SSD,LenovoNotebookV110-15ISK (i3-6006U/4GB/128GB/W10),1366,768
13.3,8,Intel UHD Graphics 620,Windows 10,1.1,1499.0,Intel,Intel Core,7,1.8,512GB,SSD,Asus2 in 1 ConvertibleZenBook Flip,1920,1080
15.6,4,Intel HD Graphics 520,Linux,2.0,415.0,Intel,Intel Core,3,2.0,256GB,SSD,AsusNotebookX541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),1920,1080
13.3,16,Intel HD Graphics 620,Windows 10,1.2,2680.0,Intel,Intel Core,7,2.7,512GB,SSD,DellUltrabookXPS 13,3200,1800
15.6,4,AMD Radeon R5,Windows 10,2.1,426.0,AMD,AMD A9-Series,9,3.0,128GB,SSD,AcerNotebookAspire 3,1366,768
15.6,4,Nvidia GeForce GTX 1050,Windows 10,2.4,999.0,Intel,Intel Core,7,2.8,1TB,HDD,LenovoGamingLegion Y520-15IKBN,1920,1080
13.3,8,Intel HD Graphics 540,Windows 10,1.3,1199.0,Intel,Intel Core,5,1.8,256GB,SSD,Lenovo2 in 1 ConvertibleYoga 900-13ISK,3200,1800
15.6,8,Intel HD Graphics 405,Windows 10,2.04,389.0,Intel,Intel Pentium,3710,1.6,2TB,HDD,HPNotebook15-AY023na (N3710/8GB/2TB/W10),1366,768
15.6,16,Intel HD Graphics 620,Windows 10,1.93,1426.66,Intel,Intel Core,5,2.6,512GB,SSD,DellNotebookLatitude 5580,1920,1080
13.3,8,Intel HD Graphics 520,Linux,1.23,1099.0,Intel,Intel Core,5,2.4,256GB,SSD,DellUltrabookXPS 13,3200,1800
15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.0,1820.0,Intel,Intel Core,7,2.8,256GB,SSD,DellNotebookXPS 15,1920,1080
13.3,8,Intel HD Graphics 520,Windows 10,1.48,1799.0,Intel,Intel Core,7,2.6,256GB,SSD,HP2 in 1 ConvertibleSpectre Pro,2560,1440
13.3,8,Intel HD Graphics 620,Windows 10,1.05,1475.0,Intel,Intel Core,5,2.5,256GB,SSD,ToshibaNotebookPortege X30-D-10V,1920,1080
11.6,8,Intel HD Graphics 500,Chrome OS,1.4,495.0,Intel,Intel Celeron,3350,1.1,64GB,Flash Storage,HP2 in 1 ConvertibleChromebook X360,1366,768
15.6,4,AMD Radeon R5 M430,Windows 10,2.25,599.0,Intel,Intel Core,5,2.5,500GB,HDD,DellNotebookInspiron 3567,1366,768
15.6,4,AMD Radeon R5 M430,Linux,2.3,598.9,Intel,Intel Core,5,2.5,256GB,SSD,DellNotebookInspiron 3567,1920,1080
13.3,8,Intel HD Graphics 615,Windows 10,1.24,2013.1,Intel,Intel Core,7,1.3,512GB,SSD,Dell2 in 1 ConvertibleXPS 13,3200,1800
15.6,4,AMD R4 Graphics,Windows 10,2.2,399.0,AMD,AMD A6-Series,6,2.5,128GB,SSD,LenovoNotebookIdeaPad 320-15AST,1920,1080
17.3,8,Intel UHD Graphics 620,Windows 10,2.5,928.0,Intel,Intel Core,5,1.6,256GB,SSD,HPNotebookProBook 470,1920,1080
15.6,4,Nvidia GeForce GTX 950M,No OS,2.45,579.0,Intel,Intel Core,5,2.3,1TB,HDD,AsusNotebookX550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,1366,768
14.0,8,Intel HD Graphics 520,Windows 7,1.54,2198.19,Intel,Intel Core,7,2.5,256GB,SSD,HPUltrabookEliteBook 840,2560,1440
15.6,16,Nvidia GeForce GTX 960,Windows 10,3.31,1305.0,Intel,Intel Core,7,2.6,512GB,SSD,LenovoGamingIdeaPad Y700-15ISK,1920,1080
13.3,6,Intel HD Graphics 620,Windows 10,1.5,639.01,Intel,Intel Core,5,2.5,1TB,HDD,Asus2 in 1 ConvertibleQ304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),1920,1080
17.3,8,AMD Radeon 530,Windows 10,2.8,1142.0,Intel,Intel Core,7,1.8,128GB,SSD,DellNotebookInspiron 5770,1920,1080
13.3,8,Intel HD Graphics 620,Windows 10,1.37,2025.0,Intel,Intel Core,7,2.7,512GB,SSD,Lenovo2 in 1 ConvertibleThinkPad Yoga,1920,1080
15.6,32,Nvidia Quadro M2200M,Windows 10,2.5,4899.0,Intel,Intel Xeon,3,3.1,1TB,SSD,LenovoNotebookThinkpad P51,3840,2160
15.6,4,AMD Radeon 520,Windows 10,2.1,499.0,Intel,Intel Core,3,2.0,128GB,SSD,HPNotebook15-bs005nv (i3-6006U/4GB/1TB,1920,1080
15.6,4,AMD Radeon 530,Windows 10,2.2,776.0,Intel,Intel Core,5,1.6,1TB,HDD,DellNotebookInspiron 5570,1920,1080
15.6,4,Nvidia GeForce 920MX,No OS,2.2,499.0,Intel,Intel Core,5,2.5,1TB,HDD,LenovoNotebookIdeaPad 320-15IKBN,1920,1080
17.3,8,Intel HD Graphics 520,Windows 10,2.54,489.0,Intel,Intel Core,3,2.0,1TB,HDD,HPNotebook17-BS037cl (i3-6006U/8GB/1TB/W10),1600,900
14.0,8,Intel HD Graphics 520,Windows 10,1.47,1725.0,Intel,Intel Core,7,2.6,256GB,SSD,ToshibaUltrabookTecra Z40-C-136,1920,1080
15.6,4,Intel HD Graphics 620,Linux,2.0,559.0,Intel,Intel Core,5,2.5,256GB,SSD,AsusNotebookVivoBook Max,1920,1080
14.0,8,AMD Radeon RX 550,Windows 10,1.75,1116.02,Intel,Intel Core,5,1.6,256GB,SSD,LenovoNotebookThinkPad E480,1920,1080
13.3,8,Intel HD Graphics 620,Windows 10,1.29,1499.0,Intel,Intel Core,5,2.5,256GB,SSD,DellUltrabookXPS 13,1920,1080
13.3,4,Intel UHD Graphics 620,Windows 10,1.49,726.0,Intel,Intel Core,5,1.6,128GB,SSD,HPNotebookProBook 430,1920,1080
15.6,8,AMD Radeon 530,Windows 10,2.02,759.0,Intel,Intel Core,5,1.6,2TB,HDD,DellNotebookInspiron 5570,1920,1080
13.3,4,Intel HD Graphics 620,Windows 10,1.32,699.0,Intel,Intel Core,5,2.5,256GB,SSD,HPNotebookEnvy 13-AD007nv,1920,1080
14.0,8,Intel HD Graphics 520,Windows 7,1.54,1870.0,Intel,Intel Core,7,2.5,512GB,SSD,HPUltrabookEliteBook 840,1920,1080
15.6,16,AMD Radeon R9 M385,Windows 10,2.5,999.0,AMD,AMD FX,8800P,2.1,512GB,SSD,LenovoGamingIdeaPad Y700-15ACZ,1920,1080
17.3,16,Nvidia GeForce GTX 1060,Windows 10,4.42,2456.34,Intel,Intel Core,7,2.8,256GB,SSD,DellGamingAlienware 17,1920,1080
15.6,8,Intel HD Graphics 620,Windows 10,1.84,1389.0,Intel,Intel Core,7,2.7,512GB,SSD,HPUltrabookEliteBook 850,1920,1080
15.6,8,Nvidia GeForce 930M,Windows 10,2.2,812.0,Intel,Intel Core,7,2.5,500GB,HDD,ToshibaNotebookSatellite Pro,1366,768
15.6,8,Intel UHD Graphics 620,Windows 10,2.1,902.0,Intel,Intel Core,7,1.8,1TB,HDD,HPNotebookProBook 450,1366,768
15.6,16,Nvidia GeForce GTX 1050,Windows 10,2.06,2027.42,Intel,Intel Core,7,2.8,512GB,SSD,DellNotebookXPS 15,3840,2160
13.3,8,Intel HD Graphics 620,Windows 10,1.58,836.6,Intel,Intel Core,5,2.5,256GB,SSD,HP2 in 1 ConvertiblePavilion X360,1366,768
15.6,4,Intel HD Graphics 620,Windows 10,2.18,586.6,Intel,Intel Core,3,2.4,1TB,HDD,DellNotebookVostro 3568,1366,768
14.0,8,Nvidia GeForce GT 940MX,Windows 10,1.7,1943.0,Intel,Intel Core,7,2.8,512GB,SSD,LenovoUltrabookThinkpad T470p,2560,1440
10.1,4,Intel HD Graphics 400,Android,0.69,549.0,Intel,Intel Atom,5,1.44,64GB,Flash Storage,Lenovo2 in 1 ConvertibleYoga Book,1920,1200
15.6,4,Intel HD Graphics 620,Windows 10,1.93,959.0,Intel,Intel Core,5,2.6,500GB,HDD,DellNotebookLatitude 5580,1366,768
17.3,8,Nvidia GeForce GTX 1060,Windows 10,2.7,1599.0,Intel,Intel Core,7,2.8,256GB,SSD,AsusGamingRog GL702VM-GC354T,1920,1080
17.3,8,Nvidia GeForce GTX 1060,Windows 10,2.7,1409.0,Intel,Intel Core,7,2.8,128GB,SSD,MSIGamingGP72MVR 7RFX,1920,1080
15.6,8,Intel HD Graphics 620,Windows 10,1.95,1390.0,Intel,Intel Core,5,2.5,256GB,SSD,LenovoNotebookThinkPad T570,1920,1080
15.6,4,Intel HD Graphics,Linux,2.2,324.0,Intel,Intel Pentium,3710,1.6,500GB,HDD,DellNotebookInspiron 3552,1366,768
11.6,4,Intel HD Graphics 500,Chrome OS,1.4,615.0,Intel,Intel Celeron,3350,1.1,32GB,Flash Storage,HP2 in 1 ConvertibleChromebook X360,1366,768
17.3,16,Nvidia GeForce GTX 1070,Windows 10,4.42,2699.0,Intel,Intel Core,7,2.8,256GB,SSD,DellGamingAlienware 17,1920,1080
15.6,4,Intel HD Graphics 520,Windows 10,2.4,450.0,Intel,Intel Core,3,2.0,500GB,HDD,AcerNotebookExtensa EX2540,1366,768
15.6,8,Intel HD Graphics 620,Windows 10,1.9,1377.0,Intel,Intel Core,5,2.8,256GB,SSD,DellNotebookLatitude 5580,1920,1080
15.6,8,AMD Radeon R5 M430,Linux,2.2,749.01,Intel,Intel Core,7,2.7,256GB,SSD,DellNotebookInspiron 3567,1920,1080
13.3,8,Intel HD Graphics 620,Windows 10,1.34,1145.0,Intel,Intel Core,7,2.7,256GB,SSD,HPUltrabookEnvy 13-AB020nr,3200,1800
14.0,8,Intel HD Graphics 520,Windows 10,1.56,1229.0,Intel,Intel Core,5,2.4,256GB,SSD,DellNotebookLatitude E7470,1920,1080
17.3,4,Nvidia GeForce 920MX,Windows 10,2.79,589.0,Intel,Intel Core,5,2.5,1TB,HDD,LenovoNotebookIdeaPad 320-17IKB,1600,900
15.6,4,Intel HD Graphics 520,Windows 10,2.1,489.9,Intel,Intel Core,3,2.0,500GB,HDD,LenovoNotebookV110-15ISK (i3-6006U/4GB/500GB/W10),1366,768
15.6,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1249.0,Intel,Intel Core,7,2.8,128GB,SSD,LenovoGamingLegion Y520-15IKBN,1920,1080
15.6,8,Nvidia GeForce 920MX,No OS,2.2,685.0,Intel,Intel Core,7,2.7,1TB,HDD,LenovoNotebookIdeaPad 310-15IKB,1920,1080
15.6,4,Intel HD Graphics 520,No OS,1.85,403.5,Intel,Intel Core,3,2.0,128GB,SSD,LenovoNotebookV310-15ISK (i3-6006U/4GB/128GB/FHD/No,1920,1080
15.6,8,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,Intel,Intel Core,5,1.6,256GB,SSD,HPNotebookProBook 450,1920,1080
15.6,4,Intel HD Graphics,Windows 10,1.89,244.99,Intel,Intel Atom,5,1.44,64GB,Flash Storage,"ChuwiNotebookLapBook 15.6""",1920,1080
17.3,8,Nvidia GeForce GTX 950M,No OS,2.69,889.0,Intel,Intel Core,7,2.7,128GB,SSD,AsusNotebookF756UX-T4201D (i7-7500U/8GB/128GB,1920,1080
13.3,8,Intel HD Graphics 620,Windows 10,1.28,2559.0,Intel,Intel Core,7,2.8,256GB,SSD,HP2 in 1 ConvertibleEliteBook x360,1920,1080
15.6,4,Intel HD Graphics 500,No OS,1.9,252.36,Intel,Intel Celeron,3350,1.1,1TB,HDD,LenovoNotebookV110-15IAP (N3350/4GB/1TB/No,1366,768
13.3,8,Intel HD Graphics 620,Windows 10,1.1,999.0,Intel,Intel Core,5,2.5,256GB,SSD,LenovoNotebookIdeaPad 720S-13IKB,1920,1080
15.6,4,Intel HD Graphics,Windows 10,2.25,559.0,Intel,Intel Core,5,2.5,1TB,HDD,DellNotebookInspiron 3567,1920,1080
15.6,4,Intel HD Graphics 520,Linux,2.18,521.86,Intel,Intel Core,5,2.5,1TB,HDD,DellNotebookVostro 3568,1366,768
15.6,4,Intel HD Graphics,Windows 10,2.2,369.0,Intel,Intel Celeron,3050,1.6,500GB,HDD,AsusNotebookX553SA-XX021T (N3050/4GB/500GB/W10),1366,768
15.6,4,Intel HD Graphics 620,Windows 10,2.0,435.0,Intel,Intel Core,3,2.4,1TB,HDD,AsusNotebookVivoBook Max,1366,768
15.6,6,AMD Radeon R7 M440,Windows 10,2.04,549.99,AMD,AMD A9-Series,9,2.9,1.0TB,Hybrid,HPNotebookPavilion 15-AW003nv,1920,1080
15.6,8,Intel HD Graphics 620,Windows 10,2.37,749.0,Intel,Intel Core,5,2.5,1TB,HDD,AsusNotebookPro P2540UA-AB51,1920,1080
15.4,16,AMD Radeon Pro 455,macOS,1.83,2537.45,Intel,Intel Core,7,2.7,512GB,SSD,AppleUltrabookMacBook Pro,2880,1800
13.3,8,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,Intel,Intel Core,7,2.4,256GB,SSD,DellUltrabookXPS 13,3200,1800
15.6,4,AMD Radeon R2 Graphics,Windows 10,2.2,349.0,AMD,AMD E-Series,2,2.2,128GB,SSD,LenovoNotebookIdeaPad 320-15AST,1366,768
17.3,16,Nvidia GeForce GTX 980M,Windows 10,4.3,2299.0,Intel,Intel Core,7,2.6,128GB,SSD,AsusGamingG752VY-GC162T (i7-6700HQ/16GB/1TB,1920,1080
15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.56,819.0,Intel,Intel Core,5,2.5,1TB,HDD,DellGamingInspiron 5577,1920,1080
13.3,8,Intel HD Graphics 620,Windows 10,1.37,1825.0,Intel,Intel Core,5,2.5,512GB,SSD,Lenovo2 in 1 ConvertibleThinkPad Yoga,1920,1080
17.3,16,Nvidia GeForce GTX 1070,Windows 10,2.9,2419.0,Intel,Intel Core,7,2.8,256GB,SSD,AsusGamingRog GL702VS-BA023T,1920,1080
11.6,4,Intel HD Graphics 500,Windows 10,1.59,553.0,Intel,Intel Celeron,3450,1.1,128GB,SSD,LenovoNetbookYoga 11e,1366,768
15.6,8,Nvidia GeForce GTX 1050,Linux,2.4,798.0,Intel,Intel Core,5,2.5,1TB,HDD,AcerGamingAspire 7,1920,1080
14.0,24,Intel HD Graphics 620,Windows 10,1.32,2382.0,Intel,Intel Core,7,2.7,512GB,SSD,LenovoUltrabookThinkPad T470s,2560,1440
11.6,2,Intel HD Graphics 500,Windows 10,1.1,275.0,Intel,Intel Celeron,3350,1.1,32GB,Flash Storage,Asus2 in 1 ConvertibleVivoBook Flip,1366,768
17.3,8,Nvidia GeForce GTX 1050,Windows 10,2.7,1191.8,Intel,Intel Core,7,2.8,128GB,SSD,MSIGamingGL72M 7RDX,1920,1080
11.6,4,Intel HD Graphics 405,Windows 10,1.4,485.0,Intel,Intel Pentium,3710,1.6,128GB,Flash Storage,AcerNotebookTravelMate B,1366,768
14.0,8,Intel HD Graphics 620,Windows 10,1.64,1010.51,Intel,Intel Core,5,2.5,256GB,SSD,HPNotebookProBook 440,1920,1080
15.6,4,Intel HD Graphics 620,Windows 10,1.9,825.0,Intel,Intel Core,5,2.5,500GB,HDD,DellNotebookLatitude 5580,1366,768
15.6,4,AMD Radeon R5,Windows 10,2.1,400.0,AMD,AMD A9-Series,9,3.0,500GB,HDD,AcerNotebookAspire 3,1366,768
15.6,8,AMD Radeon 530,Windows 10,1.91,719.0,Intel,Intel Core,7,2.7,256GB,SSD,HPNotebook15-bs017nv (i7-7500U/8GB/256GB/Radeon,1920,1080
14.0,4,Intel HD Graphics 500,Windows 10,1.5,298.0,Intel,Intel Celeron,3350,1.1,32GB,Flash Storage,AsusNotebookVivoBook E403NA,1920,1080
17.3,8,Nvidia Quadro M1200,Windows 10,3.14,1860.99,Intel,Intel Core,5,2.8,500GB,HDD,HPWorkstationZBook 17,1600,900
15.6,4,Intel HD Graphics 520,Windows 10,1.86,397.0,Intel,Intel Core,3,2.0,500GB,HDD,HPNotebook250 G6,1920,1080
12.5,8,Intel HD Graphics,Windows 10,1.36,1472.2,Intel,Intel Core,5,2.5,256GB,SSD,DellUltrabookLatitude 7280,1920,1080
15.6,6,Nvidia GeForce 940MX,Windows 10,2.2,789.0,Intel,Intel Core,7,2.7,256GB,SSD,LenovoNotebookIdeaPad 510-15IKB,1920,1080
14.0,8,Nvidia GeForce 930MX,Linux,1.64,1089.0,Intel,Intel Core,5,2.8,256GB,SSD,DellNotebookLatitude 5480,1920,1080
15.6,4,Intel HD Graphics,Windows 10,2.2,443.99,Intel,Intel Pentium,3700,1.6,500GB,HDD,DellNotebookInspiron 3552,1366,768
15.6,8,Intel HD Graphics 520,Windows 10,1.96,679.0,Intel,Intel Core,7,2.5,256GB,SSD,HPNotebook250 G5,1920,1080
15.6,8,Nvidia GeForce 920MX ,Windows 10,2.0,769.0,Intel,Intel Core,5,2.5,256GB,SSD,AsusNotebookVivobook X541UV-DM1217T,1920,1080
11.6,4,Intel HD Graphics 400,Chrome OS,1.15,269.0,Intel,Intel Celeron,3060,1.6,16GB,Flash Storage,SamsungNetbookChromebook 3,1366,768
17.3,8,Nvidia GeForce GTX 1060,Windows 10,2.73,1770.0,Intel,Intel Core,5,2.5,128GB,SSD,AsusGamingROG Strix,1920,1080
14.0,8,Nvidia GeForce 920MX,Windows 10,1.87,857.07,Intel,Intel Core,5,2.5,256GB,SSD,LenovoNotebookThinkpad E470,1920,1080
15.6,8,Intel HD Graphics 620,Windows 10,2.06,955.0,Intel,Intel Core,5,2.5,1TB,HDD,DellNotebookLatitude 3580,1920,1080
15.6,4,AMD Radeon 520,Windows 10,1.86,438.69,Intel,Intel Core,3,2.0,500GB,HDD,HPNotebook250 G6,1366,768
17.3,8,AMD FirePro W6150M,Windows 7,3.0,2899.0,Intel,Intel Core,7,2.6,1TB,HDD,HPWorkstationZBook 17,1920,1080
14.0,4,Intel HD Graphics 400,Windows 10,1.44,229.0,Intel,Intel Celeron,3060,1.6,32GB,SSD,HPNotebookStream 14-AX040wm,1366,768
15.6,8,AMD FirePro W4190M ,Windows 10,1.9,1154.0,Intel,Intel Core,5,2.5,500GB,HDD,HPNotebookZBook 15u,1920,1080
17.3,16,Nvidia GeForce GTX 1050,Windows 10,2.9,1407.0,Intel,Intel Core,7,2.8,256GB,SSD,AsusGamingROG GL703VD-GC028T,1920,1080
15.4,16,AMD Radeon Pro 555,macOS,1.83,2439.97,Intel,Intel Core,7,2.8,256GB,SSD,AppleUltrabookMacBook Pro,2880,1800
13.3,8,Intel HD Graphics 620,Windows 10,1.39,1149.0,Intel,Intel Core,7,2.7,256GB,SSD,HPUltrabookEnvy 13-AB077cl,3200,1800
17.3,32,Nvidia GeForce GTX 1070,Windows 10,4.36,3659.4,Intel,Intel Core,7,2.8,1TB,SSD,DellGamingAlienware 17,3840,2160
15.6,16,Nvidia GeForce 940MX,Windows 10,1.63,1468.0,Intel,Intel Core,7,2.7,512GB,SSD,AsusUltrabookZenBook UX530UQ-PRO,1920,1080
15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1679.0,Intel,Intel Core,7,2.8,512GB,SSD,DellGamingInspiron 7567,3840,2160
17.3,8,AMD Radeon R7 M445,Linux,2.83,865.0,Intel,Intel Core,7,2.7,1TB,HDD,DellNotebookInspiron 5767,1920,1080
15.6,8,Nvidia Quadro M1000M,Windows 7,2.59,2229.0,Intel,Intel Core,7,2.6,256GB,SSD,HPWorkstationZBook 15,1920,1080
13.3,8,Intel HD Graphics 520,Windows 10,1.48,1629.0,Intel,Intel Core,5,2.4,256GB,SSD,HP2 in 1 ConvertibleSpectre Pro,1920,1080
15.6,4,Intel HD Graphics 520,Windows 10,2.1,498.0,Intel,Intel Core,3,2.1,128GB,SSD,ToshibaNotebookSatellite Pro,1366,768
15.6,16,Nvidia GeForce GTX 1070,Windows 10,2.2,2449.0,Intel,Intel Core,7,2.8,256GB,SSD,AsusGamingRog Strix,1920,1080
12.5,8,Intel HD Graphics 620,Windows 10,1.36,1429.0,Intel,Intel Core,5,2.5,256GB,SSD,LenovoUltrabookThinkPad X270,1920,1080
15.6,4,Intel HD Graphics 500,Windows 10,2.1,333.0,Intel,Intel Celeron,3350,2.0,500GB,HDD,AcerNotebookAspire 3,1366,768
13.3,4,Intel HD Graphics 520,Windows 10,1.65,849.0,Intel,Intel Core,3,2.0,500GB,HDD,DellNotebookLatitude 3380,1366,768
15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.4,819.0,Intel,Intel Core,5,2.5,1TB,HDD,LenovoGamingLegion Y520-15IKBN,1920,1080
